import time: self [us] | cumulative | imported package
import time:       293 |        293 |                                     importlib.metadata._collections
import time:       739 |        739 |                                     importlib.metadata._functools
import time:        89 |         89 |                                     importlib.metadata._itertools
import time:       321 |        321 |                                           importlib.resources.abc
import time:       338 |        659 |                                         importlib.resources._common
import time:       196 |        196 |                                         importlib.resources._functional
import time:       108 |        963 |                                       importlib.resources
import time:       317 |       1279 |                                     importlib.abc
import time:       706 |       4869 |                                   importlib.metadata
import time:       190 |       5058 |                                 urllib3.http2
import time:       272 |        272 |                                 urllib3.http2.probe
import time:       199 |        199 |                                 urllib3.util.ssl_match_hostname
import time:       555 |       6083 |                               urllib3.connection
import time:        59 |         59 |                               compression
import time:       595 |       6809 |                             urllib3.response
import time:       294 |       7971 |                           urllib3._request_methods
import time:       217 |        217 |                           urllib3.util.proxy
import time:       371 |       8558 |                         urllib3.connectionpool
import time:       668 |        668 |                         urllib3.poolmanager
import time:      1275 |      27988 |                       urllib3
import time:       682 |        682 |                               charset_normalizer.constant
import time:       919 |        919 |                                 charset_normalizer.md__mypyc
import time:       847 |        847 |                                   _multibytecodec
import time:       503 |       1349 |                                 charset_normalizer.utils
import time:      1057 |       3324 |                               charset_normalizer.md
import time:       357 |        357 |                               charset_normalizer.models
import time:       263 |       4624 |                             charset_normalizer.cd
import time:       337 |       4961 |                           charset_normalizer.api
import time:       225 |        225 |                           charset_normalizer.legacy
import time:       182 |        182 |                           charset_normalizer.version
import time:        41 |         41 |                           simplejson
import time:       231 |        231 |                                 urllib.response
import time:       253 |        484 |                               urllib.error
import time:       912 |        912 |                               _scproxy
import time:       938 |       2334 |                             urllib.request
import time:      1757 |       4091 |                           http.cookiejar
import time:       820 |        820 |                           http.cookies
import time:       488 |      10804 |                         requests.compat
import time:       458 |      11261 |                       requests.exceptions
import time:        61 |         61 |                       chardet
import time:       362 |        362 |                       requests.packages
import time:       247 |        247 |                             certifi.core
import time:       251 |        497 |                           certifi
import time:       172 |        669 |                         requests.certs
